"defense","rushing_yds","year"
"1","NE",18,"2015"
"2","NE",4,"2015"
"3","NE",11,"2015"
"4","NE",6,"2015"
"5","NE",-1,"2015"
"6","NE",2,"2015"
"7","NE",6,"2015"
"8","NE",1,"2015"
"9","NE",2,"2015"
"10","NE",5,"2015"
"11","NE",28,"2015"
"12","NE",7,"2015"
"13","NE",10,"2015"
"14","NE",1,"2015"
"15","NE",12,"2015"
"16","NE",5,"2015"
"17","NE",-1,"2015"
"18","NE",5,"2015"
"19","NE",0,"2015"
"20","NE",-1,"2015"
"21","NE",7,"2015"
"22","SF",0,"2015"
"23","SF",1,"2015"
"24","SF",2,"2015"
"25","SF",6,"2015"
"26","SF",7,"2015"
"27","SF",3,"2015"
"28","SF",2,"2015"
"29","SF",2,"2015"
"30","SF",1,"2015"
"31","SF",3,"2015"
"32","SF",2,"2015"
"33","SF",4,"2015"
"34","SF",0,"2015"
"35","SF",16,"2015"
"36","SF",3,"2015"
"37","SF",7,"2015"
"38","SF",1,"2015"
"39","SF",4,"2015"
"40","SF",3,"2015"
"41","SF",10,"2015"
"42","STL",2,"2015"
"43","BAL",8,"2015"
"44","BAL",-3,"2015"
"45","SD",2,"2015"
"46","SD",5,"2015"
"47","SD",7,"2015"
"48","SD",3,"2015"
"49","SD",3,"2015"
"50","ARI",-1,"2015"
"51","KC",6,"2015"
"52","KC",0,"2015"
"53","KC",3,"2015"
"54","KC",0,"2015"
"55","CIN",-1,"2015"
"56","CIN",1,"2015"
"57","CIN",2,"2015"
"58","CIN",3,"2015"
"59","CIN",-1,"2015"
"60","CIN",6,"2015"
"61","CIN",55,"2015"
"62","CIN",2,"2015"
"63","CIN",4,"2015"
"64","OAK",6,"2015"
"65","OAK",0,"2015"
"66","OAK",7,"2015"
"67","OAK",2,"2015"
"68","OAK",9,"2015"
"69","OAK",-3,"2015"
"70","OAK",3,"2015"
"71","OAK",3,"2015"
"72","OAK",2,"2015"
"73","OAK",4,"2015"
"74","OAK",8,"2015"
"75","OAK",1,"2015"
"76","OAK",0,"2015"
"77","OAK",3,"2015"
"78","OAK",0,"2015"
"79","OAK",3,"2015"
"80","OAK",12,"2015"
"81","OAK",1,"2015"
"82","OAK",53,"2015"
"83","OAK",2,"2015"
"84","OAK",2,"2015"
"85","OAK",22,"2015"
"86","OAK",2,"2015"
"87","OAK",1,"2015"
"88","OAK",13,"2015"
"89","OAK",5,"2015"
"90","OAK",9,"2015"
"91","CLE",-4,"2015"
"92","CLE",1,"2015"
"93","CLE",1,"2015"
"94","CLE",1,"2015"
"95","CLE",-2,"2015"
"96","CLE",3,"2015"
"97","CLE",3,"2015"
"98","CLE",-2,"2015"
"99","CLE",4,"2015"
"100","CLE",4,"2015"
"101","CLE",3,"2015"
"102","CLE",9,"2015"
"103","CLE",4,"2015"
"104","CLE",9,"2015"
"105","CLE",11,"2015"
"106","CLE",-3,"2015"
"107","CLE",12,"2015"
"108","SEA",5,"2015"
"109","SEA",7,"2015"
"110","SEA",3,"2015"
"111","SEA",4,"2015"
"112","SEA",3,"2015"
"113","SEA",6,"2015"
"114","SEA",3,"2015"
"115","SEA",-2,"2015"
"116","IND",-1,"2015"
"117","IND",21,"2015"
"118","IND",0,"2015"
"119","IND",1,"2015"
"120","IND",2,"2015"
"121","IND",5,"2015"
"122","IND",-4,"2015"
"123","IND",3,"2015"
"124","IND",0,"2015"
"125","IND",6,"2015"
"126","IND",3,"2015"
"127","IND",7,"2015"
"128","IND",2,"2015"
"129","IND",16,"2015"
"130","IND",13,"2015"
"131","IND",13,"2015"
"132","IND",3,"2015"
"133","IND",5,"2015"
"134","IND",4,"2015"
"135","IND",4,"2015"
"136","IND",3,"2015"
"137","IND",2,"2015"
"138","IND",2,"2015"
"139","IND",6,"2015"
"140","IND",0,"2015"
"141","IND",18,"2015"
"142","CIN",2,"2015"
"143","CIN",3,"2015"
"144","CIN",0,"2015"
"145","CIN",7,"2015"
"146","CIN",0,"2015"
"147","CIN",1,"2015"
"148","CIN",4,"2015"
"149","CIN",4,"2015"
"150","CIN",9,"2015"
"151","CIN",5,"2015"
"152","CIN",2,"2015"
"153","CIN",15,"2015"
"154","CIN",2,"2015"
"155","CIN",3,"2015"
"156","CIN",0,"2015"
"157","CIN",-1,"2015"
"158","CIN",2,"2015"
"159","CIN",0,"2015"
"160","CIN",4,"2015"
"161","CIN",10,"2015"
"162","CIN",3,"2015"
"163","CIN",0,"2015"
"164","CIN",1,"2015"
"165","DEN",4,"2015"
"166","DEN",2,"2015"
"167","DEN",1,"2015"
"168","DEN",3,"2015"
"169","DEN",-2,"2015"
"170","DEN",1,"2015"
"171","DEN",4,"2015"
"172","DEN",1,"2015"
"173","DEN",2,"2015"
"174","DEN",0,"2015"
"175","DEN",5,"2015"
"176","DEN",0,"2015"
"177","DEN",1,"2015"
"178","DEN",4,"2015"
"179","BAL",9,"2015"
"180","BAL",7,"2015"
"181","BAL",30,"2015"
"182","BAL",0,"2015"
"183","BAL",3,"2015"
"184","BAL",11,"2015"
"185","BAL",16,"2015"
"186","BAL",4,"2015"
"187","BAL",5,"2015"
"188","BAL",3,"2015"
"189","BAL",-4,"2015"
"190","BAL",3,"2015"
"191","BAL",1,"2015"
"192","BAL",3,"2015"
"193","BAL",8,"2015"
"194","BAL",-1,"2015"
"195","BAL",2,"2015"
"196","CLE",1,"2015"
"197","CLE",1,"2015"
"198","CLE",1,"2015"
"199","CLE",-1,"2015"
"200","CLE",6,"2015"
"201","NE",6,"2015"
"202","NE",0,"2015"
"203","NE",1,"2015"
"204","NE",0,"2015"
"205","PIT",8,"2015"
"206","PIT",1,"2015"
"207","PIT",3,"2015"
"208","PIT",0,"2015"
"209","PIT",8,"2015"
"210","PIT",1,"2015"
"211","PIT",4,"2015"
"212","PIT",11,"2015"
"213","PIT",9,"2015"
"214","PIT",13,"2015"
"215","PIT",5,"2015"
"216","PIT",-2,"2015"
"217","PIT",4,"2015"
"218","PIT",1,"2015"
"219","PIT",3,"2015"
"220","BUF",6,"2015"
"221","BUF",5,"2015"
"222","BUF",3,"2015"
"223","BUF",13,"2015"
"224","BUF",10,"2015"
"225","BUF",2,"2015"
"226","BUF",1,"2015"
"227","JAC",8,"2015"
"228","JAC",3,"2015"
"229","JAC",10,"2015"
"230","JAC",3,"2015"
"231","JAC",2,"2015"
"232","JAC",4,"2015"
"233","JAC",5,"2015"
"234","JAC",2,"2015"
"235","DAL",5,"2015"
"236","DAL",5,"2015"
"237","DAL",6,"2015"
"238","DAL",13,"2015"
"239","DAL",0,"2015"
"240","DAL",5,"2015"
"241","IND",8,"2015"
"242","IND",3,"2015"
"243","IND",3,"2015"
"244","IND",7,"2015"
"245","MIA",3,"2015"
"246","MIA",-3,"2015"
"247","MIA",11,"2015"
"248","MIA",10,"2015"
"249","MIA",-2,"2015"
"250","WAS",9,"2015"
"251","WAS",8,"2015"
"252","WAS",8,"2015"
"253","WAS",-11,"2015"
"291","PIT",-3,"2015"
"292","PIT",1,"2015"
"293","PIT",0,"2015"
"294","PIT",0,"2015"
"295","PIT",3,"2015"
"296","BUF",1,"2015"
"297","WAS",12,"2015"
"298","NYG",-3,"2015"
"299","BUF",0,"2015"
"300","BUF",3,"2015"
"301","BUF",7,"2015"
"302","BUF",5,"2015"
"303","DEN",9,"2015"
"304","DEN",-1,"2015"
"305","DEN",1,"2015"
"306","DEN",2,"2015"
"307","PHI",2,"2015"
"308","PHI",6,"2015"
"309","PHI",14,"2015"
"310","HOU",5,"2015"
"311","HOU",11,"2015"
"312","HOU",4,"2015"
"313","HOU",1,"2015"
"314","HOU",1,"2015"
"315","HOU",5,"2015"
"316","HOU",-1,"2015"
"317","HOU",-1,"2015"
"318","HOU",12,"2015"
"319","HOU",0,"2015"
"320","HOU",1,"2015"
"321","HOU",1,"2015"
"322","HOU",-1,"2015"
"323","HOU",1,"2015"
"324","HOU",1,"2015"
"325","HOU",11,"2015"
"326","TEN",9,"2015"
"327","TEN",-1,"2015"
"328","TEN",10,"2015"
"329","TEN",1,"2015"
"330","TEN",8,"2015"
"331","TEN",6,"2015"
"332","TEN",2,"2015"
"333","TEN",-1,"2015"
"334","TEN",2,"2015"
"335","TEN",0,"2015"
"336","NYJ",3,"2015"
"337","NYJ",2,"2015"
"338","NYJ",0,"2015"
"339","NYJ",5,"2015"
"340","NYJ",13,"2015"
"341","NYJ",2,"2015"
"342","NYJ",3,"2015"
"343","NYJ",1,"2015"
"344","NYJ",1,"2015"
"345","MIA",-1,"2015"
"346","MIA",3,"2015"
"347","MIA",6,"2015"
"348","MIA",5,"2015"
"349","MIA",10,"2015"
"350","MIA",1,"2015"
"351","MIA",3,"2015"
"352","MIA",4,"2015"
"353","MIA",0,"2015"
"354","GB",3,"2015"
"355","GB",22,"2015"
"356","GB",1,"2015"
"357","GB",2,"2015"
"358","GB",5,"2015"
"359","GB",8,"2015"
"360","GB",6,"2015"
"361","GB",8,"2015"
"362","GB",23,"2015"
"363","GB",5,"2015"
"364","GB",1,"2015"
"365","GB",3,"2015"
"366","GB",1,"2015"
"367","GB",3,"2015"
"368","GB",8,"2015"
"369","GB",6,"2015"
"370","GB",2,"2015"
"371","GB",2,"2015"
"372","GB",-1,"2015"
"373","GB",20,"2015"
"374","GB",2,"2015"
"375","GB",3,"2015"
"376","GB",8,"2015"
"377","GB",0,"2015"
"378","ARI",5,"2015"
"379","ARI",1,"2015"
"380","ARI",2,"2015"
"381","ARI",0,"2015"
"382","ARI",1,"2015"
"383","ARI",1,"2015"
"384","ARI",4,"2015"
"385","ARI",4,"2015"
"386","ARI",14,"2015"
"387","ARI",1,"2015"
"388","ARI",-2,"2015"
"389","ARI",0,"2015"
"390","ARI",2,"2015"
"391","ARI",27,"2015"
"392","ARI",1,"2015"
"393","SEA",-4,"2015"
"394","SEA",9,"2015"
"395","SEA",5,"2015"
"396","SEA",5,"2015"
