"full_name","year","rushing_yds"
"93304","Aaron Brown",2010,5
"93305","Aaron Brown",2010,7
"93306","Aaron Brown",2010,1
"93307","Aaron Brown",2010,9
"93308","Aaron Brown",2010,2
"93309","Aaron Brown",2010,7
"93310","Aaron Brown",2010,4
"93311","Aaron Brown",2010,1
"93312","Aaron Brown",2010,3
"93313","Aaron Brown",2010,2
"93314","Aaron Brown",2010,1
"93315","Aaron Brown",2010,1
"93316","Aaron Brown",2010,2
"93317","Aaron Brown",2010,2
"93318","Aaron Brown",2010,0
"93319","Aaron Brown",2010,7
"93320","Aaron Brown",2010,4
"82088","Aaron Brown",2011,0
"12484","Aaron Ripkowski",2016,4
"12485","Aaron Ripkowski",2016,13
"12486","Aaron Ripkowski",2016,0
"12487","Aaron Ripkowski",2016,4
"12488","Aaron Ripkowski",2016,2
"12489","Aaron Ripkowski",2016,2
"12490","Aaron Ripkowski",2016,9
"12491","Aaron Ripkowski",2016,12
"12492","Aaron Ripkowski",2016,5
"12493","Aaron Ripkowski",2016,2
"12494","Aaron Ripkowski",2016,6
"12495","Aaron Ripkowski",2016,0
"12496","Aaron Ripkowski",2016,2
"12497","Aaron Ripkowski",2016,2
"12498","Aaron Ripkowski",2016,2
"12499","Aaron Ripkowski",2016,7
"12500","Aaron Ripkowski",2016,1
"12501","Aaron Ripkowski",2016,2
"12502","Aaron Ripkowski",2016,-2
"12503","Aaron Ripkowski",2016,10
"12504","Aaron Ripkowski",2016,1
"12505","Aaron Ripkowski",2016,3
"12506","Aaron Ripkowski",2016,2
"12507","Aaron Ripkowski",2016,0
"12508","Aaron Ripkowski",2016,0
"12509","Aaron Ripkowski",2016,10
"12510","Aaron Ripkowski",2016,5
"12511","Aaron Ripkowski",2016,15
"12512","Aaron Ripkowski",2016,8
"12513","Aaron Ripkowski",2016,5
"12514","Aaron Ripkowski",2016,2
"12515","Aaron Ripkowski",2016,4
"12516","Aaron Ripkowski",2016,7
"12517","Aaron Ripkowski",2016,5
"82248","Adrian Peterson",2010,3
"82249","Adrian Peterson",2010,5
"82250","Adrian Peterson",2010,-1
"82251","Adrian Peterson",2010,2
"82252","Adrian Peterson",2010,14
"82253","Adrian Peterson",2010,0
"82254","Adrian Peterson",2010,6
"82255","Adrian Peterson",2010,2
"82256","Adrian Peterson",2010,9
"82257","Adrian Peterson",2010,4
"82258","Adrian Peterson",2010,9
"82259","Adrian Peterson",2010,3
"82260","Adrian Peterson",2010,1
"82261","Adrian Peterson",2010,13
"82262","Adrian Peterson",2010,6
"82263","Adrian Peterson",2010,1
"82264","Adrian Peterson",2010,1
"82265","Adrian Peterson",2010,6
"82266","Adrian Peterson",2010,3
"82267","Adrian Peterson",2010,2
"82268","Adrian Peterson",2010,2
"82269","Adrian Peterson",2010,15
"82270","Adrian Peterson",2010,7
"82271","Adrian Peterson",2010,13
"82272","Adrian Peterson",2010,-3
"82273","Adrian Peterson",2010,1
"82274","Adrian Peterson",2010,2
"82275","Adrian Peterson",2010,9
"82276","Adrian Peterson",2010,2
"82277","Adrian Peterson",2010,5
"82278","Adrian Peterson",2010,6
"82279","Adrian Peterson",2010,1
"82280","Adrian Peterson",2010,0
"82281","Adrian Peterson",2010,2
"82282","Adrian Peterson",2010,1
"82283","Adrian Peterson",2010,3
"82284","Adrian Peterson",2010,23
"82285","Adrian Peterson",2010,12
"82286","Adrian Peterson",2010,-1
"82287","Adrian Peterson",2010,18
"82288","Adrian Peterson",2010,2
"82289","Adrian Peterson",2010,8
"82290","Adrian Peterson",2010,6
"82291","Adrian Peterson",2010,6
"82292","Adrian Peterson",2010,0
"82293","Adrian Peterson",2010,3
"82294","Adrian Peterson",2010,0
"82295","Adrian Peterson",2010,-2
"82296","Adrian Peterson",2010,5
"82297","Adrian Peterson",2010,2
"82298","Adrian Peterson",2010,3
"82299","Adrian Peterson",2010,1
"82300","Adrian Peterson",2010,19
"82301","Adrian Peterson",2010,-2
"82302","Adrian Peterson",2010,11
"82303","Adrian Peterson",2010,5
"82304","Adrian Peterson",2010,5
"82305","Adrian Peterson",2010,1
"82306","Adrian Peterson",2010,6
"82307","Adrian Peterson",2010,-1
"82308","Adrian Peterson",2010,2
"82309","Adrian Peterson",2010,-3
"82310","Adrian Peterson",2010,1
"82311","Adrian Peterson",2010,80
"82312","Adrian Peterson",2010,1
"82313","Adrian Peterson",2010,8
"82314","Adrian Peterson",2010,6
"82315","Adrian Peterson",2010,0
"82316","Adrian Peterson",2010,10
"82317","Adrian Peterson",2010,2
"82318","Adrian Peterson",2010,4
"82319","Adrian Peterson",2010,1
"82320","Adrian Peterson",2010,15
"82321","Adrian Peterson",2010,4
"82322","Adrian Peterson",2010,2
"82323","Adrian Peterson",2010,0
"82324","Adrian Peterson",2010,6
"82325","Adrian Peterson",2010,2
"82326","Adrian Peterson",2010,1
"82327","Adrian Peterson",2010,0
"82328","Adrian Peterson",2010,-2
"82329","Adrian Peterson",2010,30
"82330","Adrian Peterson",2010,10
"82331","Adrian Peterson",2010,2
"82332","Adrian Peterson",2010,0
"82333","Adrian Peterson",2010,9
"82334","Adrian Peterson",2010,0
"82335","Adrian Peterson",2010,4
"82336","Adrian Peterson",2010,2
"82337","Adrian Peterson",2010,-2
"82338","Adrian Peterson",2010,2
"82339","Adrian Peterson",2010,0
"82340","Adrian Peterson",2010,1
"82341","Adrian Peterson",2010,15
"82342","Adrian Peterson",2010,7
"82343","Adrian Peterson",2010,1
"82344","Adrian Peterson",2010,12
"82345","Adrian Peterson",2010,3
"82346","Adrian Peterson",2010,4
"82347","Adrian Peterson",2010,2
"82348","Adrian Peterson",2010,4
"82349","Adrian Peterson",2010,2
"82350","Adrian Peterson",2010,2
"82351","Adrian Peterson",2010,1
"82352","Adrian Peterson",2010,3
"82353","Adrian Peterson",2010,2
"82354","Adrian Peterson",2010,1
"82355","Adrian Peterson",2010,2
"82356","Adrian Peterson",2010,2
"82357","Adrian Peterson",2010,-1
"82358","Adrian Peterson",2010,2
"82359","Adrian Peterson",2010,6
"82360","Adrian Peterson",2010,2
"82361","Adrian Peterson",2010,5
"82362","Adrian Peterson",2010,0
"82363","Adrian Peterson",2010,9
"82364","Adrian Peterson",2010,3
"82365","Adrian Peterson",2010,2
"82366","Adrian Peterson",2010,4
"82367","Adrian Peterson",2010,1
"82368","Adrian Peterson",2010,5
"82369","Adrian Peterson",2010,2
"82370","Adrian Peterson",2010,7
"82371","Adrian Peterson",2010,4
"82372","Adrian Peterson",2010,10
"82373","Adrian Peterson",2010,14
"82374","Adrian Peterson",2010,2
"82375","Adrian Peterson",2010,4
"82376","Adrian Peterson",2010,5
"82377","Adrian Peterson",2010,4
"82378","Adrian Peterson",2010,-2
"82379","Adrian Peterson",2010,17
"82380","Adrian Peterson",2010,9
"82381","Adrian Peterson",2010,2
"82382","Adrian Peterson",2010,5
"82383","Adrian Peterson",2010,11
"82384","Adrian Peterson",2010,2
"82385","Adrian Peterson",2010,1
"82386","Adrian Peterson",2010,5
"82387","Adrian Peterson",2010,-2
"82388","Adrian Peterson",2010,8
"82389","Adrian Peterson",2010,4
"82390","Adrian Peterson",2010,7
"82391","Adrian Peterson",2010,2
"82392","Adrian Peterson",2010,0
"82393","Adrian Peterson",2010,1
"82394","Adrian Peterson",2010,4
"82395","Adrian Peterson",2010,8
"82396","Adrian Peterson",2010,5
"82397","Adrian Peterson",2010,9
"82398","Adrian Peterson",2010,7
"82399","Adrian Peterson",2010,-1
"82400","Adrian Peterson",2010,5
"82401","Adrian Peterson",2010,1
"82402","Adrian Peterson",2010,3
"82403","Adrian Peterson",2010,8
"82404","Adrian Peterson",2010,-1
"82405","Adrian Peterson",2010,-2
"82406","Adrian Peterson",2010,5
"82407","Adrian Peterson",2010,1
"82408","Adrian Peterson",2010,-2
"82409","Adrian Peterson",2010,4
"82410","Adrian Peterson",2010,9
"82411","Adrian Peterson",2010,2
"82412","Adrian Peterson",2010,5
"82413","Adrian Peterson",2010,6
"82414","Adrian Peterson",2010,3
"82415","Adrian Peterson",2010,0
"82416","Adrian Peterson",2010,4
"82417","Adrian Peterson",2010,2
"82418","Adrian Peterson",2010,7
"82419","Adrian Peterson",2010,11
"82420","Adrian Peterson",2010,0
"82421","Adrian Peterson",2010,0
"82422","Adrian Peterson",2010,5
"82423","Adrian Peterson",2010,4
"82424","Adrian Peterson",2010,30
"82425","Adrian Peterson",2010,2
"82426","Adrian Peterson",2010,1
"82427","Adrian Peterson",2010,6
"82428","Adrian Peterson",2010,-2
"82429","Adrian Peterson",2010,20
"82430","Adrian Peterson",2010,4
"82431","Adrian Peterson",2010,3
"82432","Adrian Peterson",2010,0
"82433","Adrian Peterson",2010,5
"82434","Adrian Peterson",2010,1
"82435","Adrian Peterson",2010,5
"82436","Adrian Peterson",2010,1
"82437","Adrian Peterson",2010,-1
"82438","Adrian Peterson",2010,5
"82439","Adrian Peterson",2010,5
"82440","Adrian Peterson",2010,-3
"82441","Adrian Peterson",2010,0
"82442","Adrian Peterson",2010,0
"82443","Adrian Peterson",2010,-2
"82444","Adrian Peterson",2010,10
"82445","Adrian Peterson",2010,0
"82446","Adrian Peterson",2010,1
"82447","Adrian Peterson",2010,25
"82448","Adrian Peterson",2010,-2
"82449","Adrian Peterson",2010,2
"82450","Adrian Peterson",2010,3
"82451","Adrian Peterson",2010,2
"82452","Adrian Peterson",2010,3
"82453","Adrian Peterson",2010,10
"82454","Adrian Peterson",2010,11
"82455","Adrian Peterson",2010,-4
"82456","Adrian Peterson",2010,3
"82457","Adrian Peterson",2010,3
"82458","Adrian Peterson",2010,15
"82459","Adrian Peterson",2010,5
"82460","Adrian Peterson",2010,8
"82461","Adrian Peterson",2010,5
"82462","Adrian Peterson",2010,3
"82463","Adrian Peterson",2010,14
"82464","Adrian Peterson",2010,1
"82465","Adrian Peterson",2010,6
"82466","Adrian Peterson",2010,-1
"82467","Adrian Peterson",2010,-3
"82468","Adrian Peterson",2010,6
"82469","Adrian Peterson",2010,-1
"82470","Adrian Peterson",2010,2
"82471","Adrian Peterson",2010,2
"82472","Adrian Peterson",2010,3
"82473","Adrian Peterson",2010,13
"82474","Adrian Peterson",2010,6
"82475","Adrian Peterson",2010,9
"82476","Adrian Peterson",2010,6
"82477","Adrian Peterson",2010,5
"82478","Adrian Peterson",2010,4
"82479","Adrian Peterson",2010,7
"82480","Adrian Peterson",2010,43
"82481","Adrian Peterson",2010,-1
"82482","Adrian Peterson",2010,1
"82483","Adrian Peterson",2010,0
"82484","Adrian Peterson",2010,0
"82485","Adrian Peterson",2010,7
"82486","Adrian Peterson",2010,2
"82487","Adrian Peterson",2010,3
"82488","Adrian Peterson",2010,-4
"82489","Adrian Peterson",2010,3
"82490","Adrian Peterson",2010,5
"82491","Adrian Peterson",2010,0
"82492","Adrian Peterson",2010,2
"82493","Adrian Peterson",2010,6
"82494","Adrian Peterson",2010,2
"82495","Adrian Peterson",2010,5
"82496","Adrian Peterson",2010,2
"82497","Adrian Peterson",2010,4
"82498","Adrian Peterson",2010,-1
"82499","Adrian Peterson",2010,3
"82500","Adrian Peterson",2010,15
"82501","Adrian Peterson",2010,23
"82502","Adrian Peterson",2010,1
"82503","Adrian Peterson",2010,-1
"82504","Adrian Peterson",2010,1
"82505","Adrian Peterson",2010,18
"82506","Adrian Peterson",2010,9
"82507","Adrian Peterson",2010,3
"82508","Adrian Peterson",2010,7
"82509","Adrian Peterson",2010,-4
"82510","Adrian Peterson",2010,-1
"82511","Adrian Peterson",2010,27
"82512","Adrian Peterson",2010,1
"82513","Adrian Peterson",2010,2
"82514","Adrian Peterson",2010,2
"82515","Adrian Peterson",2010,0
"82516","Adrian Peterson",2010,2
"82517","Adrian Peterson",2010,1
"82518","Adrian Peterson",2010,10
"82519","Adrian Peterson",2010,-6
"82520","Adrian Peterson",2010,2
"82521","Adrian Peterson",2010,0
"82522","Adrian Peterson",2010,0
"82523","Adrian Peterson",2010,1
"82524","Adrian Peterson",2010,3
"82525","Adrian Peterson",2010,9
"82526","Adrian Peterson",2010,3
"82527","Adrian Peterson",2010,6
"82528","Adrian Peterson",2010,-6
"82529","Adrian Peterson",2010,5
"82530","Adrian Peterson",2010,3
"76917","Adrian Peterson",2011,14
"76918","Adrian Peterson",2011,3
"76919","Adrian Peterson",2011,-2
"76920","Adrian Peterson",2011,2
"76921","Adrian Peterson",2011,1
"76922","Adrian Peterson",2011,2
"76923","Adrian Peterson",2011,5
"76924","Adrian Peterson",2011,3
"76925","Adrian Peterson",2011,46
"76926","Adrian Peterson",2011,3
"76927","Adrian Peterson",2011,4
"76928","Adrian Peterson",2011,5
"76929","Adrian Peterson",2011,7
"76930","Adrian Peterson",2011,5
"76931","Adrian Peterson",2011,2
"76932","Adrian Peterson",2011,-2
"76933","Adrian Peterson",2011,11
"76934","Adrian Peterson",2011,10
"76935","Adrian Peterson",2011,2
"76936","Adrian Peterson",2011,-1
"76937","Adrian Peterson",2011,12
"76938","Adrian Peterson",2011,2
"76939","Adrian Peterson",2011,4
"76940","Adrian Peterson",2011,1
"76941","Adrian Peterson",2011,-3
"76942","Adrian Peterson",2011,12
"76943","Adrian Peterson",2011,4
"76944","Adrian Peterson",2011,0
"76945","Adrian Peterson",2011,1
"76946","Adrian Peterson",2011,19
