"full_name","year","rushing_yds","pos_team","yearteamweek"
"88232","Tim Hightower",2010,5,"ARI","2010ARI1"
"88233","Tim Hightower",2010,2,"ARI","2010ARI1"
"88234","Tim Hightower",2010,2,"ARI","2010ARI1"
"88235","Tim Hightower",2010,-3,"ARI","2010ARI1"
"88236","Tim Hightower",2010,-1,"ARI","2010ARI1"
"88237","Tim Hightower",2010,0,"ARI","2010ARI1"
"88238","Tim Hightower",2010,4,"ARI","2010ARI1"
"88239","Tim Hightower",2010,3,"ARI","2010ARI1"
"88240","Tim Hightower",2010,19,"ARI","2010ARI1"
"88241","Tim Hightower",2010,20,"ARI","2010ARI1"
"88242","Tim Hightower",2010,1,"ARI","2010ARI1"
"88243","Tim Hightower",2010,-2,"ARI","2010ARI1"
"88244","Tim Hightower",2010,4,"ARI","2010ARI1"
"88298","Tim Hightower",2010,1,"ARI","2010ARI10"
"88299","Tim Hightower",2010,3,"ARI","2010ARI10"
"88300","Tim Hightower",2010,2,"ARI","2010ARI10"
"88301","Tim Hightower",2010,3,"ARI","2010ARI10"
"88302","Tim Hightower",2010,1,"ARI","2010ARI10"
"88303","Tim Hightower",2010,2,"ARI","2010ARI10"
"88304","Tim Hightower",2010,11,"ARI","2010ARI10"
"88305","Tim Hightower",2010,3,"ARI","2010ARI10"
"88306","Tim Hightower",2010,2,"ARI","2010ARI10"
"88307","Tim Hightower",2010,0,"ARI","2010ARI10"
"88308","Tim Hightower",2010,5,"ARI","2010ARI10"
"88309","Tim Hightower",2010,4,"ARI","2010ARI10"
"88310","Tim Hightower",2010,2,"ARI","2010ARI10"
"95000","Beanie Wells",2010,5,"ARI","2010ARI11"
"95001","Beanie Wells",2010,6,"ARI","2010ARI11"
"95002","Beanie Wells",2010,3,"ARI","2010ARI11"
"95003","Beanie Wells",2010,1,"ARI","2010ARI11"
"95004","Beanie Wells",2010,12,"ARI","2010ARI11"
"95005","Beanie Wells",2010,6,"ARI","2010ARI11"
"95006","Beanie Wells",2010,6,"ARI","2010ARI11"
"95007","Beanie Wells",2010,0,"ARI","2010ARI11"
"88311","Tim Hightower",2010,0,"ARI","2010ARI11"
"88312","Tim Hightower",2010,16,"ARI","2010ARI11"
"88313","Tim Hightower",2010,3,"ARI","2010ARI11"
"88314","Tim Hightower",2010,0,"ARI","2010ARI11"
"88315","Tim Hightower",2010,7,"ARI","2010ARI11"
"88316","Tim Hightower",2010,10,"ARI","2010ARI11"
"88317","Tim Hightower",2010,16,"ARI","2010ARI11"
"88318","Tim Hightower",2010,1,"ARI","2010ARI11"
"88319","Tim Hightower",2010,4,"ARI","2010ARI11"
"88320","Tim Hightower",2010,2,"ARI","2010ARI11"
"88321","Tim Hightower",2010,1,"ARI","2010ARI11"
