"full_name","rushing_yds"
"107305","Aaron Brown",5
"107306","Aaron Brown",7
"107307","Aaron Brown",1
"107308","Aaron Brown",9
"107309","Aaron Brown",2
"107310","Aaron Brown",7
"107311","Aaron Brown",4
"107312","Aaron Brown",1
"107313","Aaron Brown",3
"107314","Aaron Brown",2
"107315","Aaron Brown",1
"107316","Aaron Brown",1
"107317","Aaron Brown",2
"107318","Aaron Brown",2
"107319","Aaron Brown",0
"107320","Aaron Brown",7
"107321","Aaron Brown",4
"95922","Aaron Brown",0
"12250","Aaron Jones",4
"12251","Aaron Jones",6
"12252","Aaron Jones",0
"12253","Aaron Jones",2
"12254","Aaron Jones",3
"12255","Aaron Jones",2
"12256","Aaron Jones",6
"12257","Aaron Jones",3
"12258","Aaron Jones",11
"12259","Aaron Jones",2
"12260","Aaron Jones",4
"12261","Aaron Jones",2
"12262","Aaron Jones",13
"12263","Aaron Jones",8
"12264","Aaron Jones",1
"12265","Aaron Jones",2
"12266","Aaron Jones",0
"12267","Aaron Jones",2
"12268","Aaron Jones",7
"12269","Aaron Jones",7
"12270","Aaron Jones",5
"12271","Aaron Jones",13
"12272","Aaron Jones",-1
"12273","Aaron Jones",22
"12274","Aaron Jones",3
"12275","Aaron Jones",10
"12276","Aaron Jones",7
"12277","Aaron Jones",5
"12278","Aaron Jones",4
"12279","Aaron Jones",15
"12280","Aaron Jones",2
"12281","Aaron Jones",1
"12282","Aaron Jones",5
"12283","Aaron Jones",1
"12284","Aaron Jones",5
"12285","Aaron Jones",2
"12286","Aaron Jones",3
"12287","Aaron Jones",0
"12288","Aaron Jones",0
"12289","Aaron Jones",9
"12290","Aaron Jones",3
"12291","Aaron Jones",-1
"12292","Aaron Jones",7
"12293","Aaron Jones",6
"12294","Aaron Jones",15
"12295","Aaron Jones",3
"12296","Aaron Jones",6
"12297","Aaron Jones",46
"12298","Aaron Jones",6
"12299","Aaron Jones",3
"12300","Aaron Jones",5
"12301","Aaron Jones",7
"12302","Aaron Jones",-1
"12303","Aaron Jones",7
"12304","Aaron Jones",4
"12305","Aaron Jones",2
"12306","Aaron Jones",5
"12307","Aaron Jones",21
"12308","Aaron Jones",1
"12309","Aaron Jones",3
"12310","Aaron Jones",-2
"12311","Aaron Jones",2
"12312","Aaron Jones",4
"12313","Aaron Jones",0
"12314","Aaron Jones",3
"12315","Aaron Jones",3
"12316","Aaron Jones",5
"12317","Aaron Jones",1
"12318","Aaron Jones",6
"12319","Aaron Jones",20
"12320","Aaron Jones",-2
"12321","Aaron Jones",0
"12322","Aaron Jones",1
"12323","Aaron Jones",-1
"12324","Aaron Jones",23
"12325","Aaron Jones",20
"12326","Aaron Jones",4
"12327","Aaron Jones",5
"12328","Aaron Jones",2
"12329","Aaron Jones",6
"26193","Aaron Ripkowski",4
"26194","Aaron Ripkowski",13
"26195","Aaron Ripkowski",0
"26196","Aaron Ripkowski",4
"26197","Aaron Ripkowski",2
"26198","Aaron Ripkowski",2
"26199","Aaron Ripkowski",9
"26200","Aaron Ripkowski",12
"26201","Aaron Ripkowski",5
"26202","Aaron Ripkowski",2
"26203","Aaron Ripkowski",6
"26204","Aaron Ripkowski",0
"26205","Aaron Ripkowski",2
"26206","Aaron Ripkowski",2
"26207","Aaron Ripkowski",2
"26208","Aaron Ripkowski",7
"26209","Aaron Ripkowski",1
"26210","Aaron Ripkowski",2
"26211","Aaron Ripkowski",-2
"26212","Aaron Ripkowski",10
"26213","Aaron Ripkowski",1
"26214","Aaron Ripkowski",3
"26215","Aaron Ripkowski",2
"26216","Aaron Ripkowski",0
"26217","Aaron Ripkowski",0
"26218","Aaron Ripkowski",10
"26219","Aaron Ripkowski",5
"26220","Aaron Ripkowski",15
"26221","Aaron Ripkowski",8
"26222","Aaron Ripkowski",5
"26223","Aaron Ripkowski",2
"26224","Aaron Ripkowski",4
"26225","Aaron Ripkowski",7
"26226","Aaron Ripkowski",5
"12339","Aaron Ripkowski",4
"12340","Aaron Ripkowski",2
"12341","Aaron Ripkowski",1
"12342","Aaron Ripkowski",2
"12343","Aaron Ripkowski",4
"124125","Aaron Stecker",6
"124126","Aaron Stecker",0
"124127","Aaron Stecker",2
"124128","Aaron Stecker",2
"124129","Aaron Stecker",5
"114695","Adrian Peterson",1
"122383","Adrian Peterson",15
"114696","Adrian Peterson",0
"122384","Adrian Peterson",0
"114697","Adrian Peterson",3
"122385","Adrian Peterson",1
"114698","Adrian Peterson",7
"122386","Adrian Peterson",9
"114699","Adrian Peterson",13
"122387","Adrian Peterson",3
"114700","Adrian Peterson",2
"122388","Adrian Peterson",8
"114701","Adrian Peterson",-2
"122389","Adrian Peterson",15
"114702","Adrian Peterson",1
"114703","Adrian Peterson",0
"114704","Adrian Peterson",5
"114705","Adrian Peterson",6
"114706","Adrian Peterson",3
"114707","Adrian Peterson",0
"114708","Adrian Peterson",1
"114709","Adrian Peterson",2
"114710","Adrian Peterson",2
"114711","Adrian Peterson",6
"114712","Adrian Peterson",7
"114713","Adrian Peterson",19
"114714","Adrian Peterson",12
"114715","Adrian Peterson",4
"114716","Adrian Peterson",3
"114717","Adrian Peterson",19
"114718","Adrian Peterson",2
"114719","Adrian Peterson",64
"114720","Adrian Peterson",5
"114721","Adrian Peterson",2
"114722","Adrian Peterson",0
"114723","Adrian Peterson",1
"114724","Adrian Peterson",5
"114725","Adrian Peterson",4
"114726","Adrian Peterson",-1
"114727","Adrian Peterson",22
"114728","Adrian Peterson",3
"114729","Adrian Peterson",3
"114730","Adrian Peterson",14
"114731","Adrian Peterson",27
"114732","Adrian Peterson",0
"114733","Adrian Peterson",8
"114734","Adrian Peterson",-1
"114735","Adrian Peterson",1
"114736","Adrian Peterson",3
"114737","Adrian Peterson",35
"114738","Adrian Peterson",3
