"full_name","year","nameweekyear","nameweekyear_atts","homefield","defense","season_age","surp","surp_avg","surp_marg","nameweekyear_prob","prob_marg","surp_perm","surp_perm_marg","permprob","prob_perm_marg","YPC"
"1","Aaron Brown","2010","Aaron Brown_2010_11",1,"AWAY","DAL",25,5.27291780954813,3.39457880716744,1.87833900238069,0.0258638739274394,0.129791118747861,5.27295666716199,1.87833900238069,0.0258631773180636,0.129787622995042,9
"2","Aaron Brown","2010","Aaron Brown_2010_12",13,"HOME","NE",25,16.6574425117319,20.5595579393501,-3.90211542761822,9.67409065757928e-06,-9.80628504788052e-07,38.0239176114864,-6.05481608658867,3.57816403572662e-12,2.64661906070496e-11,2.76923076923077
"3","Aaron Brown","2010","Aaron Brown_2010_2",3,"HOME","PHI",25,7.15449995278178,8.03507725945935,-0.880577306677568,0.00701909160308832,0.0041454963230649,9.73957902634454,-0.429776922150348,0.00116975407806729,0.00260284279716099,4.33333333333333
"4","Aaron Brown","2011","Aaron Brown_2011_14",1,"HOME","MIN",26,1.59426961295723,3.39457880716744,-1.8003091942102,0.331189855233528,-0.175534862558227,1.5943084705711,-1.8003091942102,0.331180935071028,-0.175530134757922,0
"5","Aaron Jones","2017","Aaron Jones_2017_10",3,"AWAY","CHI",23,6.7476422046072,8.03507725945935,-1.28743505485215,0.009305876752235,0.00185871117391822,9.33272127816996,-0.836634670324925,0.00155085414131495,0.00222174273391334,4
"6","Aaron Jones","2017","Aaron Jones_2017_13",1,"HOME","TB",23,8.62051537282725,3.39457880716744,5.22593656565981,0.002540775510014,0.153114217165287,8.62055423044112,5.22593656565981,0.0025407070775724,0.153110093235533,20
"7","Aaron Jones","2017","Aaron Jones_2017_14",4,"AWAY","CLE",23,6.37707845182894,9.85912091904364,-3.4820424672147,0.0120311765903402,-0.00808617968353328,6.37723388228441,-7.19725041051837,0.0120298804671305,-0.0114507432350903,-0.5
"8","Aaron Jones","2017","Aaron Jones_2017_15",3,"AWAY","CAR",23,18.7448842691731,8.03507725945935,10.7098070097137,2.27628989118648e-06,0.011162311636262,21.3299633427358,11.1606073942409,3.7935099492179e-07,0.00377221752423336,15.6666666666667
"9","Aaron Jones","2017","Aaron Jones_2017_16",3,"HOME","MIN",23,8.33307396697755,8.03507725945935,0.2979967075182,0.00310095011540766,0.00806363781074556,10.9181530405403,0.748797092045423,0.000516783260355991,0.00325581361487229,4.33333333333333
"10","Aaron Jones","2017","Aaron Jones_2017_4",12,"HOME","CHI",23,20.4127665493125,19.649912592729,0.762853956583506,7.16382509791456e-07,1.40098369264472e-05,41.6637255740332,0.981971424226082,2.87057482065136e-13,2.15823702746885e-10,3.75
"11","Aaron Jones","2017","Aaron Jones_2017_5",19,"AWAY","DAL",23,34.919325584629,25.2689300453823,9.65039553924671,3.07776580843736e-11,5.7588213425793e-07,81.9206322031479,17.5228426688275,2.18490441927297e-25,4.59083288505885e-16,6.57894736842105
"12","Aaron Jones","2017","Aaron Jones_2017_6",13,"AWAY","MIN",23,15.1132332438427,20.5595579393501,-5.44632469550748,2.82139220504004e-05,-1.95204598976092e-05,38.7427427494309,-5.33599094864413,2.1740639672001e-12,2.78702906755761e-11,3.15384615384615
"13","Aaron Jones","2017","Aaron Jones_2017_7",17,"HOME","NO",23,33.484606695589,23.8133446563271,9.67126203926197,8.32010853423583e-11,1.34025955929816e-06,73.6529455847154,16.0281828999571,6.73370536797669e-23,1.77832704740978e-14,7.70588235294118
"14","Aaron Jones","2017","Aaron Jones_2017_9",5,"HOME","DET",23,8.69675866532735,11.4489092708664,-2.75215060553903,0.00240998742609313,-0.000831464883004229,14.6038435490052,-2.34353412309633,4.01610482398519e-05,5.11725726983574e-05,2.4
"15","Aaron Ripkowski","2016","Aaron Ripkowski_2016_11",2,"AWAY","WAS",24,6.6398441707639,5.93128660136356,0.708557569400345,0.0100278479000967,0.0269575245879772,7.63992188599163,0.864937569400344,0.0050136538668113,0.0192040398427858,4.5
"16","Aaron Ripkowski","2016","Aaron Ripkowski_2016_12",3,"AWAY","PHI",24,4.7832781005209,8.03507725945935,-3.25179915893845,0.0363153148783373,-0.0251507269521841,6.36835717408365,-3.80099877441123,0.0121041268806186,-0.00833153000539034,0.333333333333333
"17","Aaron Ripkowski","2016","Aaron Ripkowski_2016_13",3,"HOME","HOU",24,7.88485933355255,8.03507725945935,-0.150217925906794,0.00423078376368738,0.00693380416246584,10.4699384071153,0.300582458620426,0.000705073653521876,0.00306752322170641,4.66666666666667
"18","Aaron Ripkowski","2016","Aaron Ripkowski_2016_14",3,"HOME","SEA",24,4.7832781005209,8.03507725945935,-3.25179915893845,0.0363153148783373,-0.0251507269521841,6.36835717408365,-3.80099877441123,0.0121041268806186,-0.00833153000539034,0.666666666666667
"19","Aaron Ripkowski","2016","Aaron Ripkowski_2016_17",9,"AWAY","DET",24,24.0081068285696,16.5928705851532,7.41523624341638,5.92706521123795e-08,8.40238459272124e-05,39.8926270662028,9.39528978692734,9.79766638023664e-13,5.39284738320779e-08,6.77777777777778
"20","Aaron Ripkowski","2016","Aaron Ripkowski_2016_5",2,"HOME","NYG",24,9.06197446037846,5.93128660136356,3.13068785901491,0.001871000344587,0.0351143721434869,10.0620521756062,3.28706785901491,0.000935449780042379,0.0232822439295547,8.5
"21","Aaron Ripkowski","2016","Aaron Ripkowski_2016_6",1,"HOME","DAL",24,1.59426961295723,3.39457880716744,-1.8003091942102,0.331189855233528,-0.175534862558227,1.5943084705711,-1.8003091942102,0.331180935071028,-0.175530134757922,0
"22","Aaron Ripkowski","2016","Aaron Ripkowski_2016_7",3,"HOME","CHI",24,8.16937610471313,8.03507725945935,0.134298845253779,0.00347354353682884,0.00769104438932438,9.75445517827589,-0.414900770218999,0.00115775429280964,0.00261484258241864,2.66666666666667
